Taille;Morphologie;Methode;Nb_visites;Temps
5100;ABR_Filiforme;Naif;20396.86;0.000127779
5100;ABR_Filiforme;Definition;10201.00;0.000108138
5100;ABR_Filiforme;Infixe;10201.00;0.000106667
5100;NonABR_Filiforme;Naif;7659.84;0.000093670
5100;NonABR_Filiforme;Definition;5.54;0.000000098
5100;NonABR_Filiforme;Infixe;9.08;0.000000178
5100;ABR_Quelconque;Naif;20382.04;0.000115039
5100;ABR_Quelconque;Definition;10201.00;0.000063388
5100;ABR_Quelconque;Infixe;10201.00;0.000068347
5100;NonABR_Quelconque;Naif;20.62;0.000000367
5100;NonABR_Quelconque;Definition;2.76;0.000000063
5100;NonABR_Quelconque;Infixe;13.46;0.000000164
6100;ABR_PresqueComplet;Naif;24376.00;0.000052533
6100;ABR_PresqueComplet;Definition;12201.00;0.000034980
6100;ABR_PresqueComplet;Infixe;12201.00;0.000032515
6100;NonABR_PresqueComplet;Naif;20.00;0.000000474
6100;NonABR_PresqueComplet;Definition;2.12;0.000000079
6100;NonABR_PresqueComplet;Infixe;17.00;0.000000148
6100;ABR_Filiforme;Naif;24396.80;0.000161458
6100;ABR_Filiforme;Definition;12201.00;0.000133023
6100;ABR_Filiforme;Infixe;12201.00;0.000132447
6100;NonABR_Filiforme;Naif;9159.06;0.000119138
6100;NonABR_Filiforme;Definition;5.28;0.000000114
6100;NonABR_Filiforme;Infixe;8.80;0.000000155
6100;ABR_Quelconque;Naif;24382.14;0.000141383
6100;ABR_Quelconque;Definition;12201.00;0.000077846
6100;ABR_Quelconque;Infixe;12201.00;0.000084162
6100;NonABR_Quelconque;Naif;20.88;0.000000479
6100;NonABR_Quelconque;Definition;3.14;0.000000066
6100;NonABR_Quelconque;Infixe;14.88;0.000000180
7100;ABR_PresqueComplet;Naif;28376.00;0.000061345
7100;ABR_PresqueComplet;Definition;14201.00;0.000041392
7100;ABR_PresqueComplet;Infixe;14201.00;0.000038182
7100;NonABR_PresqueComplet;Naif;20.00;0.000000535
7100;NonABR_PresqueComplet;Definition;2.72;0.000000085
7100;NonABR_PresqueComplet;Infixe;17.00;0.000000149
7100;ABR_Filiforme;Naif;28396.94;0.000184631
7100;ABR_Filiforme;Definition;14201.00;0.000154422
7100;ABR_Filiforme;Infixe;14201.00;0.000176284
7100;NonABR_Filiforme;Naif;10648.10;0.000158625
7100;NonABR_Filiforme;Definition;5.50;0.000000215
7100;NonABR_Filiforme;Infixe;9.16;0.000000188
7100;ABR_Quelconque;Naif;28381.96;0.000163684
7100;ABR_Quelconque;Definition;14201.00;0.000089937
7100;ABR_Quelconque;Infixe;14201.00;0.000095753
7100;NonABR_Quelconque;Naif;21.00;0.000000518
7100;NonABR_Quelconque;Definition;2.72;0.000000085
7100;NonABR_Quelconque;Infixe;14.74;0.000000256
8100;ABR_PresqueComplet;Naif;32376.00;0.000069216
8100;ABR_PresqueComplet;Definition;16201.00;0.000047030
8100;ABR_PresqueComplet;Infixe;16201.00;0.000044998
8100;NonABR_PresqueComplet;Naif;20.00;0.000000594
8100;NonABR_PresqueComplet;Definition;2.58;0.000000105
8100;NonABR_PresqueComplet;Infixe;17.00;0.000000150
8100;ABR_Filiforme;Naif;32397.06;0.000253425
8100;ABR_Filiforme;Definition;16201.00;0.000199550
8100;ABR_Filiforme;Infixe;16201.00;0.000172969
8100;NonABR_Filiforme;Naif;12148.24;0.000152835
8100;NonABR_Filiforme;Definition;5.28;0.000000162
8100;NonABR_Filiforme;Infixe;9.26;0.000000152
8100;ABR_Quelconque;Naif;32382.10;0.000187654
8100;ABR_Quelconque;Definition;16201.00;0.000103655
8100;ABR_Quelconque;Infixe;16201.00;0.000109972
8100;NonABR_Quelconque;Naif;20.00;0.000000556
8100;NonABR_Quelconque;Definition;2.60;0.000000080
8100;NonABR_Quelconque;Infixe;14.30;0.000000204
9100;ABR_PresqueComplet;Naif;36374.00;0.000076664
9100;ABR_PresqueComplet;Definition;18201.00;0.000052908
9100;ABR_PresqueComplet;Infixe;18201.00;0.000049239
9100;NonABR_PresqueComplet;Naif;21.00;0.000000621
9100;NonABR_PresqueComplet;Definition;2.80;0.000000108
9100;NonABR_PresqueComplet;Infixe;18.00;0.000000246
9100;ABR_Filiforme;Naif;36396.82;0.000235225
9100;ABR_Filiforme;Definition;18201.00;0.000196322
9100;ABR_Filiforme;Infixe;18201.00;0.000194057
9100;NonABR_Filiforme;Naif;13662.20;0.000168929
9100;NonABR_Filiforme;Definition;5.50;0.000000192
9100;NonABR_Filiforme;Infixe;8.74;0.000000138
9100;ABR_Quelconque;Naif;36380.94;0.000209762
9100;ABR_Quelconque;Definition;18201.00;0.000115599
9100;ABR_Quelconque;Infixe;18201.00;0.000122472
9100;NonABR_Quelconque;Naif;21.54;0.000000627
9100;NonABR_Quelconque;Definition;2.74;0.000000078
9100;NonABR_Quelconque;Infixe;14.82;0.000000226
